kode_deskel,deskel,jumlah_kk,indikator_A,indikator_B,indikator_C,indikator_D,indikator_E,indikator_F,indikator_G,indikator_H,indikator_I,indikator_J,indikator_K,indikator_L,indikator_M,dimensi_A,dimensi_B,dimensi_C,dimensi_D,dimensi_E,iid_desa,ikd_desa,gini_iid_rumah_tangga,interpretasi_gini
64.02.15.1005,sanga-sanga muara,888,0.863739,0.324676,0.067568,0.784628,0.409459,0.558386,0.067005,0.021959,0.264077,0.164414,0.713401,0.836149,0.457207,0.418661,0.784628,0.450657,0.668919,0.129364,0.537674,0.462326,0.160354,Sedang
64.02.16.2013,teluk dalam,483,0.848861,0.32592,0.231884,0.781056,0.569358,0.6158,0.009317,0.007246,0.145963,0.061077,0.70911,0.84265,0.188406,0.468889,0.781056,0.577036,0.580055,0.055901,0.549494,0.450506,0.164944,Sedang
64.02.16.2014,loa lepu,486,0.925926,0.378206,0.242798,0.814815,0.590844,0.684262,0.038066,0.015432,0.421811,0.175926,0.721193,0.814815,0.304527,0.515644,0.814815,0.615981,0.613512,0.162809,0.594794,0.405206,0.128559,Rendah
64.02.19.2001,kedang ipil,411,0.773723,0.267183,0.111922,0.6691,0.430292,0.619894,0.071776,0.047445,0.445255,0.396594,0.701946,0.743309,0.148418,0.384276,0.6691,0.467275,0.531225,0.240268,0.487071,0.512929,0.210453,Tinggi
64.02.19.2002,sedulang,92,0.771739,0.264143,0.065217,0.682065,0.409239,0.684914,0.070652,0.076087,0.483696,0.277174,0.673913,0.826087,0.788043,0.367033,0.682065,0.48981,0.762681,0.226902,0.535463,0.464537,0.195448,Tinggi
64.02.19.2003,benua baru,109,0.853211,0.378364,0.091743,0.873853,0.409174,0.545128,0.110092,0.100917,0.587156,0.316514,0.733945,0.811927,0.619266,0.441106,0.873853,0.445107,0.721713,0.27867,0.589971,0.410029,0.153828,Rendah
64.02.19.2004,kota bangun i,369,0.731707,0.279662,0.100271,0.639566,0.442005,0.607174,0.062331,0.055556,0.533875,0.334688,0.547425,0.692412,0.47019,0.370547,0.639566,0.473984,0.570009,0.246612,0.485988,0.514012,0.231493,Tinggi
64.02.19.2005,kota bangun ii,803,0.823163,0.316554,0.070984,0.715131,0.443773,0.645931,0.073474,0.018057,0.466376,0.306351,0.464508,0.58655,0.354296,0.403567,0.715131,0.491262,0.468452,0.216065,0.493224,0.506776,0.196818,Tinggi
64.02.19.2006,kota bangun iii,855,0.807018,0.302629,0.126316,0.70848,0.47614,0.63018,0.034503,0.015205,0.475439,0.320468,0.608187,0.747953,0.197076,0.411987,0.70848,0.505175,0.517739,0.211404,0.50584,0.49416,0.218515,Tinggi
64.02.19.2007,sumber sari,378,0.783069,0.315397,0.084656,0.680556,0.437963,0.598904,0.198413,0.074074,0.543651,0.359788,0.571429,0.822751,0.395503,0.394374,0.680556,0.469312,0.596561,0.293981,0.511305,0.488695,0.190308,Tinggi
64.02.19.2008,sari nadi,491,0.786151,0.330424,0.101833,0.663442,0.411609,0.609375,0.156823,0.063136,0.378819,0.292261,0.699593,0.817719,0.372709,0.406136,0.663442,0.458605,0.630007,0.22276,0.507393,0.492607,0.212464,Tinggi
64.02.19.2009,suka bumi,390,0.833333,0.313075,0.102564,0.699359,0.415769,0.608048,0.085897,0.051282,0.637179,0.337179,0.746154,0.844872,0.484615,0.416324,0.699359,0.466111,0.69188,0.277885,0.538308,0.461692,0.160079,Sedang
